GAME_ID,PLAYER_ID,FGM,FGA,FG3M,FG3A,PTS,PLUS_MINUS
42000226,202711,5,12,4,8,14,-3
42000226,1629611,15,21,7,10,39,8
42000216,201142,15,30,2,8,32,-25
42000216,200782,1,6,1,5,3,30
42000205,1628989,0,7,0,4,0,-23
42000205,1627788,2,7,1,5,8,22
42000225,1629611,4,8,1,5,13,15
42000225,202711,10,20,9,17,32,-6
42000215,200782,0,3,0,2,0,-2
42000215,201142,16,23,4,9,49,6
42000204,1627788,4,9,2,5,10,-13
42000204,1628989,4,10,2,5,10,0
42000224,202711,6,12,2,5,18,-8
42000224,202695,9,19,3,7,31,14
42000214,201142,9,25,1,8,28,-23
42000214,200782,5,8,3,6,13,14
42000234,1628969,6,11,0,2,14,17
42000234,1629008,7,16,3,8,20,2
42000223,202711,2,10,1,5,9,-17
42000223,202695,14,24,1,6,34,15
42000203,201980,0,0,0,0,0,2
42000203,203524,0,2,0,1,1,-5
42000233,1628969,4,8,1,3,11,15
42000233,1629008,5,13,4,7,15,-11
42000213,201142,11,28,3,8,30,-6
42000213,200782,0,4,0,3,0,10
42000222,202695,8,17,2,4,21,-8
42000222,202711,5,8,3,5,16,6
42000232,1629008,3,13,2,9,11,-26
42000232,1628969,5,12,2,8,16,28
42000202,203524,0,2,0,2,0,-18
42000202,201980,2,6,1,5,5,12
42000221,202695,9,19,1,4,23,-12
42000221,202711,6,14,3,6,18,12
42000212,200782,1,2,0,1,2,-9
42000212,201142,12,18,4,6,32,27
42000231,1629008,6,13,3,8,15,-8
42000231,1628969,8,12,4,8,23,12
42000201,203524,2,7,2,7,6,-10
42000201,201980,2,7,0,4,4,5
42000177,1627827,7,13,4,7,18,1
42000177,202695,10,15,1,3,28,8
42000211,200782,2,5,1,4,7,-13
42000211,201142,12,25,1,4,29,14
42000176,202695,18,25,5,9,45,8
42000176,1627827,3,8,3,7,11,-8
42000166,1629008,10,19,6,12,26,-8
42000166,1626181,6,13,3,6,17,-2
42000156,1628969,4,10,1,6,10,-4
42000156,2544,11,26,3,10,29,-3
42000105,203078,10,23,2,7,32,-14
42000105,201980,2,7,1,5,5,12
42000135,1628381,5,9,1,4,13,13
42000135,203493,4,10,4,8,12,-12
42000145,203937,1,5,0,1,2,-22
42000145,202711,6,14,3,6,17,20
42000175,1627827,2,9,2,6,8,14
42000175,202695,7,19,1,7,20,-8
42000115,203095,8,17,1,5,18,-8
42000115,201142,8,16,4,6,24,16
42000165,1626181,5,14,0,3,13,11
42000165,1629008,10,13,3,5,26,11
42000155,2544,9,19,6,10,24,-24
